label,text
0,uhhhhrmm isnt tb test bad youre sick
0,compliment away system side
0,meet soon princess ttyl
0,dear sleeping p
1,urgent nd attempt contact u £ prize yesterday still awaiting collection claim call
1,big brother alert computer selected u k cash voucher call ntt po box cro bt landline cost ppm mobile vary
1,private account statement xxxxxx show un redeemed point call identifier code expires
0,safe trip nigeria wish happiness soon company share moment
0,already sabarish asked go
0,medical mission nigeria
0,hope feeling great pls fill abiola
0,ok going sleep hope meet
0,u awake snow
0,never nothing
0,yes really great bhaji told kallis best cricketer sachin world tough get
0,except there chick huge boob
0,yeah thought lemme know anything goin later
0,happy valentine day know early hundred handsomes beauty wish thought finish aunty uncle st
0,sister going earn da
0,k k yesterday cbe
0,hi elaine today meeting confirmed
0,easy mate guess quick drink bit ambitious
0,da run activate full version da
0,k k good going
0,received understood n acted upon
0,sorry man account dry would want could trade back half could buy shit credit card
0,guy browsin compulsory
0,u wake already thanx e tau sar piah quite nice
0,wanted wish happy new year wanted talk legal advice gary split person make trip ptbo hope everything good babe love ya
1,congratulation u claim vip row ticket c blu concert november blu gift guaranteed call claim t c www smsco net cost£ max
0,fear fainting housework quick cuppa
0,thank much selflessness love plenty
0,yo around got car back
0,telly brdget jones
0,juz havent woke bit blur blur dad went liao cant cum oso
0,fact cleaning show know upset priority constantly want need
0,luton ring ur around h
0,u ask darren go n pick u lor oso sian tmr haf meet lect
0,good afternoon love go day woke early online waiting hmmm italian boy online see grin
0,sleeping bag blanket paper phone detail anything else
0,u love someone dont make love u much u love much dont want loved anyone except gud nit
0,sent ur email id soon
0,record one night
0,hoping would send message rent due dont enough reserve completely gone loan need hoping could balance lt gt way could get till mid march hope pay back
0,told everything stop dont let get dehydrated
0,hi frnd best way avoid missunderstding wit beloved one
1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network txting moan nyt ec p msg p
0,got lot hair dresser fr china
0,pls clarify back open return ticket preponed go back kerala
0,probably gonna see later tonight lt
0,k head min see
0,current food alone also
0,aight plan come later tonight
1,u subscribed best mobile content service uk £ per ten day send stop helpline
1,loan purpose £ £ homeowner tenant welcome previously refused still help call free text back help
0,gentle baby soon taking lt gt inch deep inside tight pussy
0,sure mean get made hold weed
0,head dey swell oh thanks making day
0,home watching tv lor
0,mum sent many many message since got want know actually getting enjoy rest day
0,mean get door
0,real u getting yo need ticket one jacket done already used multis
0,reach ur home lt gt minute
0,c movie juz last minute decision mah juz watch lar tot ü interested
0,yes care cause know
0,ok thats cool either raglan rd edward rd behind cricket ground gimme ring ur closeby see tuesday
0,sent ü part
0,oh k placement ah
0,ill call evening ill idea
0,mean still think teju
0,remains bro amongst bros
0,btw regarding really try see anyone else th guy commit random dude
0,ard like dat
0,coughing nothing
0,oooh bed ridden ey thinking
1,pls stop bootydelious f inviting friend reply yes see www sm ac u bootydelious stop send stop frnd
0,sorry guess whenever get hold connection maybe hour two text
1,text get ringtones logo game www txt com question info txt co uk
1,free ring tone text polys every week get new tone yr £ wk
0,waaaat lololo ok next time
1,okmail dear dave final notice collect tenerife holiday cash award call landline tc sae box cw wx ppm
0,trying find chinese food place around
1,registered subscriber yr draw £ gift voucher b entered receipt correct an next olympics txt an
0,stalking u
0,ya onion roast
0,half year missed friendship
0,yeah like go like friend imma flip shit like half hour
0,make tonight
0,pls ask macho much budget bb bold co saw new one lt gt dollar
0,call later network urgnt sm
0,uncle atlanta wish guy great semester
0,ok day making dinner tonite invited
0,havent
0,send naughty pix
0,oh phone phoned disconnected
1,urgent trying contact u today draw show £ prize guaranteed call land line claim valid hr
1,important information orange user xxxxxx today ur lucky day find log onto fantastic prizeawaiting
0,ya srsly better yi tho
0,thread wishlist section forum ppl post nitro request start last page collect bottom
0,aiyah wait lor u entertain hee
0,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle
0,awesome think get th usf time tonight
0,u attend ur driving lesson many time wk n day
0,k must book huh going yoga basic sunday
0,reached home finally
0,let know kick
0,oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scared hiphop open cant catch
0,msg rajini come
0,cant wait cornwall hope tonight isnt bad well its rock night shite anyway im going kip good night speak soon
0,send someone else
0,aaooooright work
0,asked sen come chennai search job
0,really master
0,sindu got job birla soft
0,hows champ leaving glasgow
0,sorry never hear unless book one kinda joke thet really looking skinny white girl one line much camera something like casting look
0,wat time u wan meet later
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
0,ok stay night xavier sleeping bag getting tired
0,yo jp hungry like mofo
1,urgent mobile £ bonus caller prize nd attempt reach call asap box n qp ppm
0,lady first genus second k
0,stomach thru much trauma swear eat better lose weight
0,really quite funny lor wat u shd haf run shorter distance wat
0,going write ccna exam week
0,height confidence aeronautics professor wer calld amp wer askd sit aeroplane aftr sat wer told dat plane w made student dey hurried plane bt didnt move said made student wont even start datz confidence
1,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer service
0,e admin building might b slightly earlier call u reaching
1,winner specially selected receive £ cash £ award speak live operator claim call pm cost p
0,babe need advice
0,total video converter free download type google search
0,u ask next sat make ok lor
1,valued vodafone customer computer picked win £ prize collect easy call
1,romantic paris night flight £ book next year call t c apply
1,selected stay top british hotel nothing holiday worth £ claim call london bx sw s
0,wait u lor need feel bad lar
0,sorry completely forgot pop em round week still
1,hi mandy sullivan calling hotmix fm chosen receive £ easter prize draw please telephone claim prize transferred someone else
0,dear friend sorry late information today birthday loving ar praveesh detail log face book see number lt gt dont miss delicious treat
0,late call tomorrow morning take care sweet dream u ummifying bye
0,hey babe going ever figure going new year
0,wish thing different wonder able show much value pls continue brisk walk drug without askin please find thing laugh love dearly
1,one registered subscriber u enter draw g b gift voucher replying enter unsubscribe text stop
1,splashmobile choose gr tone wk subscrition service weekly tone costing p u one credit kick back enjoy
0,dun believe leh tot told true already thk muz c u tog believe
0,ok din get ur msg
1,customer service annoncement new year delivery waiting please call arrange delivery
0,length e e top shorter n got fringe thk going liao lazy dun wan distract u also
1,cash prize claim call c rstm sw s ppm
0,watever relation u built dis world thing remains atlast iz lonlines lotz n lot memory feeling
0,dad back ph
1,free unlimited hardcore porn direct mobile txt porn get free access hr chrgd p per day txt stop exit msg free
0,happened yo date
0,queen going royal wedding
0,hi darlin ive got back really nice night thanks much lift see u tomorrow xxx
0,know lt gt around
0,thk em find wtc far weiyi goin e rest dunno yet r ur goin dinner den might b able join
0,basket gettin full might tonight
0,im late tellmiss im way
0,thought get watch co thats kind thing u get th love much
0,multimedia message e mail
1,cash prize claim call
0,yup ü noe leh
0,id onluy matter getting offcampus
0,thanks fill complete calm reassurance
0,huh lei
0,den weekday got special price haiz cant eat liao cut nail oso muz wait finish drivin wat lunch still muz eat wat
0,min later k
0,one week leave put know time
0,laptop noe infra slow lar wan fast one
0,ok great thanx lot
1,last chance claim ur £ worth discount voucher today text shop savamob offer mobile c savamob pobox uz £ sub
0,oops thk dun haf enuff go check tell ü
0,send pic like
0,dont know ask brother nothing problem thing told
0,thought praps meant another one goodo look tomorrow
0,ok bus come soon come otherwise tomorrow
0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
0,wif family booking tour package
1,dear subscriber ur draw £ gift voucher b entered receipt correct an elvis presley birthday txt answer
0,castor need see something
0,great office today
0,faith make thing possible hope make thing work love make thing beautiful may three christmas merry christmas
0,poking man everyday teach canada abi saying hi
0,alright thanks advice enjoy night try get sleep
0,k k month kotees birthday know
0,oi gonna ring
0,released vday shirt u put make bottom half naked instead white underwear
0,think disturbing da
0,argh g spotty anyway thing remember research province sterling problem free place looked
1,dear dave final notice collect tenerife holiday cash award call landline tc sae box cw wx ppm
0,ok problem u frm wats matter
0,umma life vava umma love lot dear
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
0,jesus armand really trying tell everybody find
0,ü come
0,also tell said happy birthday
0,derek done class
0,give u back id proof lt gt r wont allow work come home within day
0,hey hun onbus goin meet want go meal donyt feel like cuz get last bus home he sweet latelyxxx
0,ugh long day exhausted want cuddle take nap
0,hopeing wasn‘t pissed remember gone sister something
0,sorry c ur msg yar lor poor thing one night tmr u brand new room sleep
0,ok gonna head usf like fifteen minute
0,collect ur laptop
0,thats cool princess cover face hot sticky cum
0,today song dedicated day song u dedicate send ur valuable frnds first rply
0,sorry call later meeting thing related trade please call arul lt gt
0,know lab goggles went
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
0,like talk pa able dont know
0,see
0,hanging brother family
1,important customer service announcement premier call freephone
0,good registered vote
0,although told u dat baig face watch really like e watch u gave co fr u thanx everything dat u done today touched
0,different style
0,company good environment terrific food really nice
0,oh u must taken real valentine shopping first
0,knew u slept v late yest wake late
0,hi dear call urgnt know whats problem want work problem least tell wating reply
0,barred b q store life twat orange dungerees came asked wanted decking got first punch
0,ho ho big belly laugh see ya tomo
0,telling coulda real valentine u never pick nothing
1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p
0,year many mile
0,hi way u day normal way real ur unique hope know u rest mylife hope u find wot lost
0,k go sleep well take rest
0,oh oh den muz change plan liao go back yan jiu
0,saw message k da
0,crucify c told earlier
1,camera awarded sipix digital camera call fromm landline delivery within day
0,let make saturday monday per convenience
0,oh fuck juswoke bed boatin dock slept wid year old spinout giv u da gossip l r xxx
0,also fuck family going rhode island wherever fuck leaving alone week new bong gt
0,ah well confuses thing doesn‘t
0,good swimsuit allowed
0,awesome text restocked
0,money steve mate
0,maybe westshore hyde park village place near house
0,saw guy doll last night patrick swayze great
0,omg joanna freaking looked thru friend find photo asking stuff myspace even logged like year
0,sorry man accidentally left phone silent last night check til got
0,well know mean texting
0,site simulate test give tough question test readiness
0,time thinkin goin
0,even cant close eye vava playing umma
0,oh forwarded message thought send
0,hey bored thinking u wat r u
1,hi sexychat girl waiting text text great night chatting send stop stop service
0,someone year lt gt toyota camry like mr olayiwola mileage lt gt k clean need know much sell raise dough soon landing sell holla back
0,yes one woman man please tell like dislike bed
0,never believe actually got taunton wow
0,dunno lei might b eatin wif frens ü wan eat wait ü lar
0,necessarily expect done get back though headin
0,cab available pick drop door step
1,ur cash balance currently pound maximize ur cash send go p msg cc po box tcr w
0,hows watch resizing
0,mmm yummy babe nice jolt suzy
0,finished eating got u plate leftover time
0,sure driving reach destination soon
0,made eta taunton planned hope that‘s still okday good see xx
0,usf guess might well take car
0,sorry text amp drive coherently see twenty
0,wiskey brandy rum gin beer vodka scotch shampain wine kudi yarasu dhina vaazhthukkal
0,wah okie okie muz make use e unlimited haha
0,excellent thought misundrstud frnd knw u hate bt day wen u knw truth u hate urself gn
0,friend u stay fb chat
0,thing quick question
0,love hear v see sundayish
0,haf msn yijue hotmail com
0,love
0,wen get spiritual deep great
0,hey charles sorry late reply
1,hi babe jordan r u im home abroad lonely text back u wanna chat xxsp visionsms com text stop stopcost p
0,win really side long time
0,buy one egg da please
0,hey tmr maybe meet yck
1,ripped get mobile content www clubmoby com call poly true pix ringtones game six downloads
0,ok lor anyway thk cant get ticket co like quite late already u wan go look ur frens darren wif
1,sim subscriber selected receive bonus get delivered door txt word ok claim p msg exp apr
1,wan win meet greet westlife u currently tour unbreakable untamed unkempt text cost p std text
0,wish
0,ü still attending da talk
0,oh ho first time u use type word
0,wow v v impressed fun shopping
1,claim shopping spree call mobstorequiz ppm
1,important customer service announcement premier
0,back bit long co accident divert via wadebridge brilliant weekend thanks speak soon lot love
0,… don‘t worry we‘ll finished march … ish
0,… r stayin extra week back next wed rugby weekend hi c u soon
0,k
0,lt gt ish minute minute ago wtf
0,thursday night yeah sure thing work
1,b u voucher w c marsms log onto www b utele com discount credit opt reply stop customer care call
0,thank way lost
0,wnevr wana fal luv vth book bed fals luv vth yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb
0,hi sorry missed call pls call back
0,got rumour going buy apartment chennai
0,aight grab something eat text back mu
0,sweet well princess please tell like dislike bed
0,jordan got voted last nite
0,ok wif co like try new thing scared u dun like mah co u said loud
0,lt gt guess easy enough
0,lot happened feel quiet beth aunt charlie working lot helen mo
0,yes pretty lady like single
0,god created gap btwn ur finger dat sum vry special fill gap holding ur hand plz dont ask created much gap leg
0,single single answer fighting plus said broke didnt reply
0,edison rightly said fool ask question wise man answer know u speechless viva gm gn ge gnt
0,stupid auto correct phone
0,oh ya got hip hop open haha thinking go jazz zoom cine actually tonight free leh kb lesson tonight
1,ur balance £ ur next question sang uptown girl answer txt ur answer good luck
0,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night
0,objection bf coming
0,goodmorning today late hr
0,please dont say like hi hi hi
0,thanks message really appreciate sacrifice sure process direct pay find way back test tomorrow class wonderful day
0,tee hee lecture cheery bye bye
0,usual u call ard smth
0,change window logoff sound
0,havent planning buy later check already lido got show e afternoon u finish work already
0,sorry got late start way
0,lt decimal gt common car better buy china asia find less expensive holla
0,honeybee said sweetest world god laughed amp said wait u havnt met person reading msg moral even god crack joke gm gn ge gn
1,santa calling would little one like call santa xmas eve call book time call ppm last min c www santacalling com
0,asking u knw nt may ur frnds classmate
0,little darling far week need coffee run tomo believe time week already …
0,much buzy
0,thanks temales wonderful thank great week
0,mmmm cant wait lick
0,alrite sam nic checkin ur number b
0,realy sorry recognise number confused r u please
0,lol gonna last month cashed left lt gt case collecting week cause announced blog
0,jus finish blowing hair u finish dinner already
0,hi finally completed course
0,ok leave need ask
0,see requirement please
0,hey loverboy love tell look picture ache feel leg fuck want need crave
0,si si think ill go make oreo truffle
0,slept thinkthis time lt gt pm dangerous
0,nokia phone lovly
0,thought could go dinner treat seem ok
0,oh god almost home
1,free video camera phone half price line rental mths cross ntwk min txts call mobileupd call optout
0,cutest girl world
0,yesterday true true
0,ya one slow poo
0,ola would get back maybe today told direct link u getting car bid online arrange shipping get cut u partnership u invest money shipping take care rest u wud b self reliant soon dnt worry
1,kick new season wks free goal news ur mobile txt ur club name eg villa
1,lookatme thanks purchase video clip lookatme charged p think better send video mmsto
0,yeah probably swing roommate finish girl
0,wylie tampa sarasota
0,yetunde sorry moji seem busy able go shopping please find way get wanted u get please forgive reply free via yahoo messenger
0,home ard wat time u reach
0,helloooo wake sweet morning welcome enjoy day full joy gud mrng
0,call meet
0,haha yeah see sec
0,pas dis ur contact n see wat u get red luv wid u blue u put smile face purple u r realy hot pink u r swt orange thnk lyk u green realy wana go wid u yelow wnt u bck black jealous u brown miss nw plz giv one color
0,haha got fast lose weight thk muz go month den got effect gee later go aust put bk e weight
0,like made throw smoking friend car one time awesome
0,phone
0,hmmm give one day
0,hey happy birthday
0,gosh pain spose better come
0,marrow wed lt gt aha
0,watching lotr w si dis aft u wan meet dinner nite
0,ü come lt n pas lar
1,free entry gr prize wkly comp chance win latest nokia psp £ cash every wk txt great
1,dear voucher holder claim week offer pc please go t c apply stop text txt stop
0,tell u headache want use hour sick time
0,said right giggle saw u would possibly first person die nvq think much could
0,yes baby need stretch open pussy
0,told number gautham
0,r outside already
1,sorry missed call let talk time
0,gobi art college
0,de call time ill tell k
0,baby promise treat well bet take good care
0,k k cant come search job
0,probably almost gas get cash tomorrow
0,please tell special stock talking
0,k ready lt gt
0,come home one last time wont anything trust
1,hear new divorce barbie come ken stuff
0,jane babe goin wrk feel ill lst nite foned already cover chuck
0,ü write wat
0,hi hope good day better night
0,strange watching nd one bed sweet dream miss u
0,yeah able text ready meet
1,urgent ur £ guaranteed award still unclaimed call closingdate claimcode £ pmmorefrommobile bremoved mobypobox l yf
0,dad wanted talk apartment got late start omw
1,urgent trying contact u today draw show £ prize guaranteed call land line claim c valid hr
0,india take lead
0,lol really need remember eat drinking appreciate keeping company night babe smile
0,bothering trust answer pls
0,hello lover go new job happy think wake slave send teasing kiss across sea
0,try something dear read something exam
0,omw back tampa west palm hear happened
0,ey calm downon theacusations itxt u co iwana know wotu r doin thew end haventcn u age ring ur nething sat love j xxx
0,message sent askin lt gt dollar shoul pay lt gt lt gt
0,somewhere beneath pale moon light someone think u dream come true goodnite amp sweet dream
1,get brand new mobile phone agent mob plus load goody info text mat
0,gain right wife dont demand trying husband let see
0,dunno da next show aft toa payoh got
0,test earlier appreciate call tomorrow
0,dear umma called
1,£ price claim call
0,think …thanks see tomo
0,sister cleared two round birla soft yesterday
0,cps causing outage conserve energy
0,hmm bad news hype park plaza studio taken left bedrm
0,next lt gt hour imma flip shit
0,funny fact nobody teach volcano erupt tsunami arise hurricane sway aroundn teach hw choose wife natural disaster happens
0,gonna ring weekend wot
0,orh tot u say still dun believe
0,nothing got msg frm tht unknown
0,surely result offer
0,watching house – entertaining – getting whole hugh laurie thing – even stick – indeed especially stick
1,urgent ur awarded complimentary trip eurodisinc trav aco entry £ claim txt dis £ morefrmmob shracomorsglsuplt l aj
1,please call immediately urgent message waiting
1,like tell deepest darkest fantasy call p min stop text call nat rate
0,alright new goal
0,check error difficulty correction
0,tell friend come round til like lt gt ish
0,heard anything answering text guessing flaked said jb fantastic
1,know u u know send chat let find p msg rcvd hg suite land row w j hl ldn year
0,many thing antibiotic used chest abdomen gynae infection even bone infection
0,id check like bowl worth left
0,think u wrong number
0,mummy boy good bad positive negative mummy made wait hmmmm
0,babe lost
0,going nothing great bye
0,hey mr whats name bill brison book one language word
1,guess first time created web page www asjesus com read wrote waiting opinion want friend
1,free text msg text ok credit account
0,cant think anyone spare room top head
0,fine remember
0,erm … ill pick pm give enough time get park
0,got message ignoring yes shopping
0,live next lt gt min
0,aww must nearly dead well jez iscoming todo workand whilltake forever
1,urgent trying contact last weekend draw show £ prize guaranteed call claim code k valid hour
0,yes tv always available work place
0,ok lar joking wif u oni
1,u get phone wanna chat set meet call u cum moro luv jane xx calls£ minmoremobsemspobox po wa
1,ur ringtone service changed free credit go club mobile com choose content stop txt club stop p wk club po box mk wt
0,night nt staying port step liao ex
0,thanx today cer nice catch ave find time often oh well take care c u soon c
0,finish already yar keep saying mushy embarrassed ok
0,ok r meeting later
0,good afternoon boytoy feeling today better hope good boy obedient slave please queen
0,de seeing online shop asked
0,right though give space want need really starting become issue going suggest setting definite move still greece maybe ready
0,yo trip got postponed still stocked
0,ü collecting ur laptop going configure da setting izzit
0,hope thing went well doctor reminds still need go u c little thing left lounge
0,watching movie already xy want shop shopping w
0,cheer callin babe sozi culdnt talkbut wannatell u detail later wenwecan chat properly x
0,coffee cake guess
0,babe go day sip cappuccino think love send kiss across sea
0,chk ur belovd m dict
0,ü eatin later eatin wif frens lei ü going home first
0,excellent wish together right
0,k wat tht incident
0,awesome lemme know whenever around
0,guy get used dumb realize
0,know god created gap finger one made come amp fill gap holding hand love
0,hi babe thanks coming even though didnt go well wanted bed hope see soon love kiss xxx
0,yes come nyc audiitions trying relocate
0,cant talk call dont keep calling
0,ok asked money far
0,take care sleep well need learn change life need get convinced wait conversation u get convinced time family many sens respect overemphasise u role life
0,pls send company name saibaba colany
1,want funk ur fone weekly new tone reply tone u text www ringtones co uk original n best tone gbp network operator rate apply
0,meeting da call
0,ok ü finishing soon
1,goal arsenal henry v liverpool henry score simple shot yard pas bergkamp give arsenal goal margin min
1,would like see xxx pic hot nearly banned uk
0,r u sure understand wine good idea slurp
0,need coz never go
0,call da waiting call
0,dear call tmorrow pls accomodate
0,hey sathya till dint meet even single time saw situation sathya
0,da car park
0,going thru different feeling wavering decision coping individual time heal everything believe
0,good afternoon babe go day job prospect yet miss love sigh
0,cool text parked
0,wn u r hurt prsn close u fight wit dem coz somtimes dis fight save relation bt quiet leaf nothin relation gud eveb
0,velly good yes please
0,i‘ll leave around four ok
0,mmmm fuck fair know weakness grin push knee expose belly pull head forget know wicked smile
1,get free mobile video player free movie collect text go free extra film ordered c apply yr
0,k k give treat
0,message food
0,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust ja person sending account detail co
1,free message activate free text message replying message word free term condition visit www com
1,sport fan get latest sport news str ur mobile wk free plus free tone txt sport www getzed co uk norm txt p
0,want inside every night
0,tired slept well past night
0,ok sweet dream
0,k deleted contact
0,sorry trouble u buy dad big small sat n sun thanx
0,jus an lar u noe later
0,fine hope also
1,sorry u unsubscribe yet mob offer package min term week pls resubmit request expiry reply themob help info
0,great safe trip dont panic surrender
0,ok lor msg b u call
0,turning phone mom telling everyone cancer sister stop calling hurt talk put see u u get home love u
1,urgent important information user today lucky day find log onto fantastic surprise awaiting
0,kallis dismissial nd test
0,thk u dun haf hint e forum already lor co told ron n darren going tell shuhui
0,meeting u work tel shall work tomorrow
0,since side fever vomitin
0,happy new year u ur family may new year bring happiness stability tranquility ur vibrant colourful life
0,tick tick tick could die loneliness know pout stomp foot need
0,surely dont forgot come always touch
0,wat make u thk fall actually thk quite prone fall lucky dad home ask come n fetch already
0,yahoo boy bring perf legal
0,back amp packing car let know room
0,geeeee internet really bad today eh
0,great getting worried know wonderful caring person like best life know u r wonderful god love
0,lor ya go dinner together
0,think still car
1,sm service inclusive text credit pls goto www comuk net login qxj unsubscribe stop extra charge help comuk cm ae
0,heard week
0,working technical support voice process
0,sorry grocer
0,ü takin linear algebra today
0,yes last week taking live call
0,get door
